2022-11-22 20:32:55.370 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-austin-web-dev.yaml,AUSTIN'}, BootstrapPropertySource {name='bootstrapProperties-austin-web.yaml,AUSTIN'}, BootstrapPropertySource {name='bootstrapProperties-austin-web,AUSTIN'}]
2022-11-22 20:32:55.402 [main] INFO  com.quan.austin.AustinWebApplication - The following profiles are active: dev
2022-11-22 20:32:56.226 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=c108c737-9b4d-3ce6-a61d-bf9b2c926fbe
2022-11-22 20:32:56.508 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9001 (http)
2022-11-22 20:32:56.509 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2022-11-22 20:32:56.510 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2022-11-22 20:32:56.510 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-11-22 20:32:56.523 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2022-11-22 20:32:56.532 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9001"]
2022-11-22 20:32:56.533 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-11-22 20:32:56.533 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2022-11-22 20:32:56.663 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-11-22 20:32:56.664 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1246 ms
2022-11-22 20:32:56.836 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'austin-service' URL not provided. Will try picking an instance via load-balancing.
2022-11-22 20:32:57.274 [main] INFO  s.d.s.w.WebMvcPropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2022-11-22 20:32:58.764 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
